ID,GENDER,OWN_CAR,FLAG_OWN_REALTY,APPROVED,AMT_INCOME_TOTAL,INCOME_TYPE,EDUCATION_TYPE
5008804,M,Y,Y,1,427500,Working,Higher education
5008805,M,Y,Y,1,427500,Working,Higher education
5008806,M,Y,Y,0,112500,Working,Secondary / secondary special
5008808,F,N,Y,1,270000,Commercial associate,Secondary / secondary special
5008809,F,N,Y,1,270000,Commercial associate,Secondary / secondary special
5008810,F,N,Y,1,270000,Commercial associate,Secondary / secondary special
5008811,F,N,Y,1,270000,Commercial associate,Secondary / secondary special
5008812,F,N,Y,0,283500,Pensioner,Higher education
5008813,F,N,Y,1,283500,Pensioner,Higher education
5008814,F,N,Y,1,283500,Pensioner,Higher education
5008815,M,Y,Y,0,270000,Working,Higher education
5112956,M,Y,Y,1,270000,Working,Higher education
6153651,M,Y,Y,1,270000,Working,Higher education
5008819,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special
5008820,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special
5008821,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special
5008822,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special
5008823,M,Y,Y,1,135000,Commercial associate,Secondary / secondary special
5008824,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special
5008825,F,Y,N,0,130500,Working,Incomplete higher
5008826,F,Y,N,0,130500,Working,Incomplete higher
5008830,F,N,Y,0,157500,Working,Secondary / secondary special
5008831,F,N,Y,0,157500,Working,Secondary / secondary special
5008832,F,N,Y,0,157500,Working,Secondary / secondary special
5008834,F,N,Y,0,112500,Working,Secondary / secondary special
5008835,F,N,Y,0,112500,Working,Secondary / secondary special
6153712,F,N,Y,0,112500,Working,Secondary / secondary special
5008836,M,Y,Y,0,270000,Working,Secondary / secondary special
5008837,M,Y,Y,1,270000,Working,Secondary / secondary special
5008838,M,N,Y,1,405000,Commercial associate,Higher education
5008839,M,N,Y,1,405000,Commercial associate,Higher education
5008840,M,N,Y,1,405000,Commercial associate,Higher education
5008841,M,N,Y,1,405000,Commercial associate,Higher education
5008842,M,N,Y,1,405000,Commercial associate,Higher education
5008843,M,N,Y,1,405000,Commercial associate,Higher education
5008844,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008846,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008847,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008849,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008850,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008851,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008852,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008853,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
6153733,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
6153734,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
6153735,M,Y,Y,0,112500,Commercial associate,Secondary / secondary special
5008854,F,Y,Y,0,135000,Working,Secondary / secondary special
5008855,F,Y,Y,0,135000,Working,Secondary / secondary special
5008856,F,Y,Y,0,135000,Working,Secondary / secondary special
5008857,F,Y,Y,1,135000,Working,Secondary / secondary special
5008858,F,Y,Y,0,135000,Working,Secondary / secondary special
5008859,F,Y,Y,0,135000,Working,Secondary / secondary special
5008860,F,Y,Y,1,135000,Working,Secondary / secondary special
5008861,F,Y,Y,0,135000,Working,Secondary / secondary special
5008862,F,Y,Y,0,135000,Working,Secondary / secondary special
5008863,F,Y,Y,0,135000,Working,Secondary / secondary special
5008864,F,Y,Y,0,135000,Working,Secondary / secondary special
5008865,F,Y,Y,0,135000,Working,Secondary / secondary special
5008866,F,Y,Y,0,135000,Working,Secondary / secondary special
5008867,F,Y,Y,0,135000,Working,Secondary / secondary special
5112846,F,Y,Y,0,135000,Working,Secondary / secondary special
6153736,F,Y,Y,0,135000,Working,Secondary / secondary special
5008868,F,N,Y,0,211500,State servant,Secondary / secondary special
5008870,F,N,Y,0,211500,State servant,Secondary / secondary special
5008872,M,Y,Y,1,360000,Commercial associate,Secondary / secondary special
6153737,M,Y,Y,1,360000,Commercial associate,Secondary / secondary special
5008873,F,N,Y,0,126000,Commercial associate,Higher education
5008874,F,N,Y,0,126000,Commercial associate,Higher education
5008875,F,N,Y,0,126000,Commercial associate,Higher education
5008876,F,N,Y,0,126000,Commercial associate,Higher education
5008877,F,N,Y,0,126000,Commercial associate,Higher education
5008878,F,N,Y,0,126000,Commercial associate,Higher education
5008879,F,N,Y,0,126000,Commercial associate,Higher education
5008880,F,N,Y,0,126000,Commercial associate,Higher education
5008881,F,N,Y,0,126000,Commercial associate,Higher education
5008882,F,N,Y,0,126000,Commercial associate,Higher education
5008884,F,N,Y,1,315000,Pensioner,Secondary / secondary special
5008888,F,N,Y,0,247500,Commercial associate,Higher education
5008889,F,N,Y,0,247500,Commercial associate,Higher education
5008890,F,N,Y,0,247500,Commercial associate,Higher education
5112847,F,N,Y,1,247500,Commercial associate,Higher education
5008891,F,N,Y,0,297000,Commercial associate,Secondary / secondary special
5008892,F,N,Y,0,297000,Commercial associate,Secondary / secondary special
5008893,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008894,F,N,Y,0,297000,Commercial associate,Secondary / secondary special
5008895,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008896,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008897,F,N,Y,0,297000,Commercial associate,Secondary / secondary special
5008898,F,N,Y,0,297000,Commercial associate,Secondary / secondary special
5008899,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008900,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008901,F,N,Y,1,297050,Commercial associate,Secondary / secondary special
5008902,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008903,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008904,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008905,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008906,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008907,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
5008908,F,N,Y,1,297000,Commercial associate,Secondary / secondary special
,,,,,,,
